gene,mean_AD,mean_Control,log2FC,t_stat,p_value,p_adj
RAP2A,11.761550031097652,10.440525330193234,1.3210247009044185,6.760740846198842,1.105826915364674e-06,6.116840332390832e-05
CTD-3092A11.2,9.62449338876059,7.688749409909816,1.9357439788507733,6.895984105388004,1.1109955007274997e-06,6.116840332390832e-05
CEBPB,10.472041443409271,8.202682640204827,2.269358803204444,8.167571890706727,1.1245872198835364e-06,6.15959145149682e-05
RASD2,5.566331890752853,7.743520078789408,-2.1771881880365553,-7.101322755750637,1.1473067753227328e-06,6.18784689894725e-05
C8orf46,9.42685227766385,10.777661690704523,-1.3508094130406736,-7.037411383583815,1.142757045648194e-06,6.18784689894725e-05
SEPT7,12.851067177292515,11.773959716889316,1.0771074604031998,6.8183788303959405,1.1415487827611899e-06,6.18784689894725e-05
TTBK2,10.249621191202014,8.337814284284043,1.9118069069179704,6.781836983636536,1.1545064679794174e-06,6.195069986299707e-05
DST,11.624534128436718,10.316529352636268,1.30800477580045,6.791834149853311,1.1697753004547254e-06,6.230107297621794e-05
NAA38,8.0662387373428,9.969280481160846,-1.9030417438180454,-6.75796456925268,1.1728231503421974e-06,6.230107297621794e-05
FAM84B,7.783418926231422,5.770581602618005,2.012837323613417,6.93023076543641,1.1874693321865016e-06,6.232246761402139e-05
LPGAT1,9.51273070556691,10.39045131909851,-0.8777206135316007,-6.750331301409179,1.1909127289785565e-06,6.232246761402139e-05
WDR45,7.518721521689123,8.877665520587946,-1.3589439988988232,-6.723699145438004,1.1908416310854e-06,6.232246761402139e-05
TUBB4A,7.801064713113628,10.364486703766097,-2.5634219906524693,-7.392442810480091,1.204166932911351e-06,6.270565836357583e-05
BCL6,11.732153595520792,9.857394951164476,1.8747586443563158,7.469897533274147,1.2156460699989602e-06,6.299311081352455e-05
DUS2,6.811277377159199,7.932808345424759,-1.12153096826556,-6.8997416829357014,1.2285797753529823e-06,6.30452272099824e-05
EEF1A2,7.709199600303025,10.730926299283764,-3.021726698980739,-6.932664718941679,1.2280714706853051e-06,6.30452272099824e-05
ATP5D,7.876598563874323,10.014692474386898,-2.138093910512575,-6.698550863491687,1.294582506368849e-06,6.611126412958987e-05
RIN2,9.197002983270071,7.2954205919287585,1.9015823913413126,6.702301829112585,1.3401980585437802e-06,6.776871404354716e-05
DPM3,7.888392535806062,9.533686280285911,-1.645293744479849,-6.741621487883239,1.3403750123840855e-06,6.776871404354716e-05
BAG6,8.121200616163069,9.666327221499145,-1.5451266053360762,-6.6985411692931205,1.3462709250917513e-06,6.776871404354716e-05
CNP,11.657062451615005,10.311844756084586,1.345217695530419,6.760832380882121,1.3539210464771059e-06,6.78308027597606e-05
CISD2,8.167381776556322,9.325366851089205,-1.157985074532883,-6.762728532757965,1.3700360304133494e-06,6.799366609154703e-05
PRDX6,11.630738357640496,9.066870815191566,2.5638675424489303,7.53482756491069,1.363700540199315e-06,6.799366609154703e-05
G6PD,4.443259441845927,8.432832785944226,-3.9895733440982992,-6.676978026395223,1.3814629349423979e-06,6.824039572558919e-05
ARHGAP32,8.892075906308099,10.969967620610548,-2.0778917143024493,-8.015375267601023,1.3884687999138862e-06,6.826745899483578e-05
TOR1A,7.832211524038392,9.085959591834493,-1.253748067796101,-6.703292351087017,1.395447058078623e-06,6.829292060624594e-05
MICAL2,11.368905288930602,12.72858723472214,-1.3596819457915377,-6.655292929584811,1.4358867069887387e-06,6.962733201641264e-05
STAT2,10.119096054861124,8.927215960145443,1.1918800947156818,6.673448646789753,1.4305538402313801e-06,6.962733201641264e-05
TPTE2P5,6.294809756233594,7.506598397211953,-1.2117886409783596,-6.7607014348618515,1.4972441766373842e-06,7.227108763120451e-05
SCD,11.113135988724483,9.13916704003597,1.9739689486885137,6.648176075334009,1.5104525439869786e-06,7.257724473857432e-05
